iter	Passed	Remaining
897	4034	458
898	4037	453
899	4040	448
900	4045	444
901	4048	439
902	4050	435
903	4053	430
904	4055	425
905	4063	421
906	4066	416
907	4068	412
908	4079	408
909	4081	403
910	4083	398
911	4085	394
912	4095	390
913	4097	385
914	4099	380
915	4102	376
916	4105	371
917	4107	366
918	4109	362
919	4111	357
920	4112	352
921	4114	348
922	4116	343
923	4119	338
924	4124	334
925	4126	329
926	4128	325
927	4136	320
928	4139	316
929	4141	311
930	4143	307
931	4145	302
932	4152	298
933	4154	293
934	4155	288
935	4157	284
936	4160	279
937	4162	275
938	4164	270
939	4166	265
940	4168	261
941	4170	256
942	4171	252
943	4183	248
944	4185	243
945	4187	239
946	4189	234
947	4193	230
948	4197	225
949	4199	221
950	4201	216
951	4212	212
952	4214	207
953	4217	203
954	4222	198
955	4224	194
956	4227	189
957	4229	185
958	4231	180
959	4233	176
960	4241	172
961	4242	167
962	4244	163
963	4246	158
964	4248	154
965	4254	149
966	4256	145
967	4259	140
968	4261	136
969	4264	131
970	4267	127
971	4270	123
972	4272	118
973	4274	114
974	4276	109
975	4331	106
976	4333	102
977	4339	97
978	4346	93
979	4353	88
980	4362	84
981	4383	80
982	4478	77
983	4483	72
984	4521	68
985	4524	64
986	4559	60
987	4561	55
988	4567	50
989	4569	46
990	4571	41
991	4573	36
992	4575	32
993	4576	27
994	4582	23
995	4589	18
996	4590	13
997	4623	9
998	4624	4
999	4627	0
